,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration,mid_price,days_to_expiration
26,AAPL240712C00212500,2024-07-08 15:22:02+00:00,212.5,14.35,14.3,14.6,0.15000057,1.0563421,1367.0,2520,0.4299373413085938,True,REGULAR,USD,2024-07-12,-0.5006233584657398,0.0
27,AAPL240712C00215000,2024-07-08 15:23:06+00:00,215.0,12.12,12.0,12.15,0.32999992,2.7989817,1568.0,11785,0.3811097045898437,True,REGULAR,USD,2024-07-12,-0.5640774352634683,0.0
28,AAPL240712C00217500,2024-07-08 15:24:16+00:00,217.5,9.75,9.6,9.8,0.34000015,3.6324804,2258.0,3958,0.3452213916015625,True,REGULAR,USD,2024-07-12,-0.6275315120611968,0.0
29,AAPL240712C00220000,2024-07-08 15:24:06+00:00,220.0,7.3,7.25,7.4,0.20000029,2.8169055,7365.0,21328,0.29321995849609367,True,REGULAR,USD,2024-07-12,-0.6909855888589254,0.0
30,AAPL240712C00222500,2024-07-08 15:24:31+00:00,222.5,5.19,5.1,5.25,0.09000015,1.7647089,9131.0,10086,0.2622144091796875,True,REGULAR,USD,2024-07-12,-0.7484282268021323,0.0
31,AAPL240712C00225000,2024-07-08 15:24:40+00:00,225.0,3.35,3.35,3.45,0.0,0.0,59588.0,18202,0.2456130126953125,True,REGULAR,USD,2024-07-12,-0.7958517999878031,0.0
32,AAPL240712C00227500,2024-07-08 15:24:37+00:00,227.5,2.06,2.07,2.1,-0.07000017,-3.271036,44952.0,20086,0.2395095581054687,False,REGULAR,USD,2024-07-12,-0.8309853204042296,0.0
33,AAPL240712C00230000,2024-07-08 15:24:40+00:00,230.0,1.17,1.17,1.18,-0.09000003,-7.1428604,49433.0,23168,0.23780059082031246,False,REGULAR,USD,2024-07-12,-0.8552982508825172,0.0
34,AAPL240712C00232500,2024-07-08 15:24:43+00:00,232.5,0.63,0.61,0.63,-0.060000002,-8.695652,10033.0,8034,0.24073024902343748,False,REGULAR,USD,2024-07-12,-0.8701264667236706,0.0
35,AAPL240712C00235000,2024-07-08 15:24:03+00:00,235.0,0.32,0.31,0.32,-0.050000012,-13.513515,9904.0,7352,0.24536887451171874,False,REGULAR,USD,2024-07-12,-0.8782753060598,0.0
36,AAPL240712C00237500,2024-07-08 15:24:35+00:00,237.5,0.17,0.16,0.17,-0.03999999,-19.047615,5034.0,2165,0.2553785400390626,False,REGULAR,USD,2024-07-12,-0.8822829319628144,0.0
