Date,Open,High,Low,Close,Adj Close,Volume,MA_10,MA_50,Volatility,Daily Return,RSI,upper_band,middle_band,lower_band
2021-03-16,125.69999694824219,127.22000122070312,124.72000122070312,125.56999969482422,123.25052642822266,115227900,-1.9777883570457027,-1.5860368628428585,-0.515748869812499,0.7062414144021508,-0.2665399656433341,-1.8636092665998345,-1.8685307740524648,-1.816902444158179
2021-03-17,124.05000305175781,125.86000061035156,122.33999633789062,124.76000213623047,122.45549011230469,111932600,-1.964435400888331,-1.59097671811367,-0.3696743329558796,-0.42716026566588544,-0.3772634721021156,-1.912563924594659,-1.8838760679309965,-1.7963134347604341
2021-03-18,122.87999725341797,123.18000030517578,120.31999969482422,120.52999877929688,118.30364227294922,121229700,-1.9624571809689342,-1.60210997513405,-0.38400687802394085,-2.048384691278715,-0.9032904161393757,-1.9598977809328035,-1.9070454846920808,-1.7932777591318383
2021-03-19,119.9000015258789,121.43000030517578,119.68000030517578,119.98999786376953,117.77359771728516,185549500,-1.969529291712077,-1.6091320043040185,-0.3495361833670082,-0.3108089908494262,-0.9649582736518775,-2.0183295111135697,-1.9319816040935411,-1.782107961460994
2021-03-22,120.33000183105469,123.87000274658203,120.26000213623047,123.38999938964844,121.11079406738281,111912300,-1.9347622152916018,-1.6171313789175743,-0.7781173114523576,1.6270107129383415,-0.44981047542453084,-2.0349031325726457,-1.938568983137103,-1.7779566285927093
2021-03-23,123.33000183105469,124.23999786376953,122.13999938964844,122.54000091552734,120.27650451660156,95467100,-1.927591172800215,-1.6272341786514335,-0.8032782436597554,-0.4530334612993671,-0.560211528926976,-2.0544019181463264,-1.9469483284627613,-1.774346915107086
2021-03-24,122.81999969482422,122.9000015258789,120.06999969482422,120.08999633789062,117.87174224853516,88530500,-1.9270471991105027,-1.636678328314194,-0.8125976508757408,-1.2268872009947738,-0.8664633073412197,-2.0730908902425673,-1.960224044837643,-1.781506358363795
2021-03-25,119.54000091552734,121.66000366210938,119.0,120.58999633789062,118.36250305175781,98844700,-1.933822590071729,-1.6454000985573187,-0.7618385906237812,0.19961559867322598,-0.7850860371120095,-2.0731209104492936,-1.9612336084593969,-1.78351892436811
2021-03-26,120.3499984741211,121.4800033569336,118.91999816894531,121.20999908447266,118.97105407714844,94071200,-1.9329323929945705,-1.6556834931460873,-0.7690014040742315,0.2573598102929073,-0.6807239119642621,-2.073169331644289,-1.9613598111330508,-1.7837233713036271
2021-03-29,121.6500015258789,122.58000183105469,120.7300033569336,121.38999938964844,119.1477279663086,80819200,-1.945790765873538,-1.6636722502540366,-0.8205355791442563,0.04144605494331614,-0.6490587798147024,-2.126085950769902,-1.9775127713136453,-1.7605887687255146
2021-03-30,120.11000061035156,120.4000015258789,118.86000061035156,119.9000015258789,117.68527221679688,85671900,-1.9738319172069092,-1.6713635470007073,-1.0504807422407134,-0.7710687321255455,-0.8686019120665813,-2.1508855484405305,-1.9906875294007689,-1.7610952963973612
2021-03-31,121.6500015258789,123.5199966430664,121.1500015258789,122.1500015258789,119.8936996459961,118323800,-1.986739755959999,-1.677397605116513,-1.3380821518446473,1.0618866547519403,-0.4580316590397381,-2.1505124100843425,-1.9904603684393578,-1.7610290919971732
2021-04-01,123.66000366210938,124.18000030517578,122.48999786376953,123.0,120.72798919677734,75089100,-1.974524288518987,-1.6869904809074305,-1.2712838349018851,0.36466962904992106,-0.31087235072407104,-2.1429330873994186,-1.9832167701532815,-1.7543600581428729
2021-04-05,123.87000274658203,126.16000366210938,123.06999969482422,125.9000015258789,123.57443237304688,88651200,-1.9452961825951343,-1.6986442793763585,-0.9335484183225813,1.3460179899905529,0.15261704898563552,-2.1113223614739183,-1.9719096922501183,-1.7648230814543924
2021-04-06,126.5,127.12999725341797,125.6500015258789,126.20999908447266,123.87870788574219,80171300,-1.9313497868739278,-1.7123059048902949,-0.6658832725084953,0.09915228095320285,0.19938020374140902,-2.104004094799624,-1.9470492867505194,-1.7222066218772567
