,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration,mid_price,days_to_expiration
27,GME240712P00025000,2024-07-08 15:23:58+00:00,25.0,1.03,1.0,1.04,-0.52,-33.986927,1561.0,2231,0.7246121289062499,True,REGULAR,USD,2024-07-12,-0.6138195686164817,0.0
28,GME240712P00025500,2024-07-08 15:14:59+00:00,25.5,1.28,1.34,1.4,-0.70000005,-35.35354,73.0,210,0.7587914746093751,True,REGULAR,USD,2024-07-12,-0.5894803894146681,0.0
29,GME240712P00026000,2024-07-08 15:18:39+00:00,26.0,1.75,1.71,1.78,-0.6500001,-27.083336,834.0,353,0.7832052929687501,True,REGULAR,USD,2024-07-12,-0.5634026974127251,0.0
30,GME240712P00026500,2024-07-08 15:17:21+00:00,26.5,2.19,2.05,2.24,-0.56999993,-20.652172,4.0,56,0.8027363476562499,True,REGULAR,USD,2024-07-12,-0.5355864926106526,0.0
31,GME240712P00027000,2024-07-08 14:20:19+00:00,27.0,2.85,2.39,2.85,-0.35000014,-10.937505,11.0,300,0.88476677734375,True,REGULAR,USD,2024-07-12,-0.5025547494081913,0.0
32,GME240712P00027500,2024-07-08 14:47:53+00:00,27.5,3.09,2.8,3.25,-0.44000006,-12.464591,3.0,13,0.85937640625,True,REGULAR,USD,2024-07-12,-0.4743908420460929,0.0
33,GME240712P00028000,2024-07-08 15:09:33+00:00,28.0,3.45,3.25,3.7,-0.68000007,-16.464893,27.0,273,0.8710950390625,True,REGULAR,USD,2024-07-12,-0.4430976116437613,0.0
34,GME240712P00028500,2024-07-05 17:36:23+00:00,28.5,4.6,3.7,4.2,0.0,0.0,10.0,23,0.9062509375,True,REGULAR,USD,2024-07-12,-0.4100658684413001,0.0
35,GME240712P00029000,2024-07-08 14:49:18+00:00,29.0,4.52,4.3,4.6,-0.44000006,-8.870969,5.0,74,0.98437515625,True,REGULAR,USD,2024-07-12,-0.37529561243870946,0.0
36,GME240712P00029500,2024-07-05 15:17:19+00:00,29.5,5.55,4.7,5.15,0.0,0.0,3.0,25,0.99804689453125,True,REGULAR,USD,2024-07-12,-0.3422638692362482,0.0
37,GME240712P00030000,2024-07-08 14:46:10+00:00,30.0,5.45,5.15,5.6,-0.8500004,-13.492069,25.0,584,0.9062509375,True,REGULAR,USD,2024-07-12,-0.3109706388339166,0.0
38,GME240712P00030500,2024-07-05 18:51:02+00:00,30.5,6.6,5.4,6.1,0.099999905,1.53846,35.0,67,1.4960962695312499,True,REGULAR,USD,2024-07-12,-0.2848929468319736,0.0
39,GME240712P00031000,2024-07-05 19:44:40+00:00,31.0,6.95,6.1,6.6,0.0,0.0,10.0,60,0.85937640625,True,REGULAR,USD,2024-07-12,-0.24316863962886479,0.0
40,GME240712P00031500,2024-07-05 14:53:44+00:00,31.5,7.41,6.4,7.05,0.0,0.0,1.0,18,1.5585959570312498,True,REGULAR,USD,2024-07-12,-0.21709094762692174,0.0
41,GME240712P00032000,2024-07-05 16:27:12+00:00,32.0,7.64,7.05,7.55,0.0,0.0,8.0,69,1.6289081054687498,True,REGULAR,USD,2024-07-12,-0.17710515322394244,0.0
42,GME240712P00032500,2024-07-03 14:05:05+00:00,32.5,8.55,7.35,8.05,0.0,0.0,1.0,4,1.6992202539062502,True,REGULAR,USD,2024-07-12,-0.14928894842186982,0.0
43,GME240712P00033000,2024-07-08 14:05:48+00:00,33.0,8.7,8.05,8.55,-0.25,-2.793296,1.0,57,1.765626171875,True,REGULAR,USD,2024-07-12,-0.10756464121876096,0.0
44,GME240712P00034000,2024-07-05 19:07:06+00:00,34.0,10.03,9.0,9.5,0.0,0.0,2.0,26,1.78125109375,True,REGULAR,USD,2024-07-12,-0.04150115481383867,0.0
45,GME240712P00035000,2024-07-08 15:13:46+00:00,35.0,10.0,9.9,10.55,-0.9200001,-8.424909,21.0,114,2.019536201171875,True,REGULAR,USD,2024-07-12,0.026300844391213305,0.0
46,GME240712P00036000,2024-07-08 13:38:43+00:00,36.0,12.0,10.85,11.5,0.53999996,4.7120414,1.0,47,2.0156299609375,True,REGULAR,USD,2024-07-12,0.0923643307961356,0.0
47,GME240712P00037000,2024-07-02 15:27:19+00:00,37.0,13.65,11.75,12.5,0.0,0.0,1.0,5,2.1250046874999997,True,REGULAR,USD,2024-07-12,0.1584278172010579,0.0
48,GME240712P00038000,2024-07-05 19:34:33+00:00,38.0,13.85,12.75,13.45,0.0,0.0,5.0,11,2.0781298046874994,True,REGULAR,USD,2024-07-12,0.22622981640610973,0.0
49,GME240712P00039000,2024-07-05 14:11:08+00:00,39.0,14.45,13.75,14.45,0.0,0.0,1.0,6,2.1718795703125,True,REGULAR,USD,2024-07-12,0.29577032841129114,0.0
50,GME240712P00040000,2024-07-05 19:31:19+00:00,40.0,15.35,14.75,15.45,-0.42000008,-2.663285,15.0,62,2.2656293359374997,True,REGULAR,USD,2024-07-12,0.36531084041647255,0.0
51,GME240712P00041000,2024-07-08 13:30:01+00:00,41.0,17.1,15.75,16.45,-1.4499989,-7.816705,1.0,33,2.3515666210937494,True,REGULAR,USD,2024-07-12,0.43485135242165407,0.0
52,GME240712P00042000,2024-07-08 14:52:03+00:00,42.0,17.24,16.7,17.45,-0.6399994,-3.579415,2.0,14,2.44531638671875,True,REGULAR,USD,2024-07-12,0.5026533516267058,0.0
53,GME240712P00043000,2024-07-02 19:57:51+00:00,43.0,19.13,17.7,18.45,0.0,0.0,1.0,31,2.5234411914062496,True,REGULAR,USD,2024-07-12,0.5721938636318872,0.0
54,GME240712P00044000,2024-06-18 19:33:59+00:00,44.0,20.5,18.7,19.45,0.0,0.0,1.0,4,2.6093784765625,True,REGULAR,USD,2024-07-12,0.6417343756370686,0.0
55,GME240712P00045000,2024-07-05 19:06:24+00:00,45.0,20.62,19.7,20.45,0.0,0.0,45.0,103,2.68750328125,True,REGULAR,USD,2024-07-12,0.71127488764225,0.0
56,GME240712P00046000,2024-07-02 16:46:43+00:00,46.0,22.22,20.7,21.45,0.0,0.0,2.0,8,2.7656280859375,True,REGULAR,USD,2024-07-12,0.7808153996474314,0.0
57,GME240712P00047000,2024-06-07 19:54:59+00:00,47.0,24.3,22.5,23.2,0.0,0.0,1.0,0,3.8417972705078123,True,REGULAR,USD,2024-07-12,0.9042498084566286,0.0
58,GME240712P00050000,2024-07-05 16:12:53+00:00,50.0,25.45,24.7,25.4,0.0,0.0,1.0,6,2.7890655273437504,True,REGULAR,USD,2024-07-12,1.0572389348680273,0.0
59,GME240712P00053000,2024-06-07 17:30:46+00:00,53.0,30.15,28.5,29.25,0.0,0.0,1.0,1,4.375004531249999,True,REGULAR,USD,2024-07-12,1.3232313932878466,0.0
60,GME240712P00055000,2024-06-10 18:55:27+00:00,55.0,34.25,29.65,30.4,0.0,0.0,3.0,3,3.0937522656249996,True,REGULAR,USD,2024-07-12,1.403202982093805,0.0
61,GME240712P00056000,2024-06-07 16:46:52+00:00,56.0,32.15,31.5,32.25,0.0,0.0,1.0,1,4.589848012695313,True,REGULAR,USD,2024-07-12,1.5318529293033907,0.0
62,GME240712P00060000,2024-06-12 16:18:57+00:00,60.0,34.35,34.65,35.4,0.0,0.0,2.0,5,3.3593766015624995,True,REGULAR,USD,2024-07-12,1.750905542119712,0.0
63,GME240712P00065000,2024-06-06 18:17:45+00:00,65.0,34.5,40.5,41.25,0.0,0.0,,1,5.1562535546875,True,REGULAR,USD,2024-07-12,2.1577175373500235,0.0
64,GME240712P00070000,2024-07-05 18:24:23+00:00,70.0,45.79,44.65,45.5,0.0,0.0,1.0,6,4.3828170214843745,True,REGULAR,USD,2024-07-12,2.449787687771785,0.0
65,GME240712P00080000,2024-06-12 15:41:48+00:00,80.0,52.5,54.65,55.5,0.0,0.0,1.0,4,4.812503984374999,True,REGULAR,USD,2024-07-12,3.1451928078235993,0.0
66,GME240712P00095000,2024-06-17 13:45:52+00:00,95.0,67.03,69.65,70.5,0.0,0.0,5.0,0,5.343753320312499,True,REGULAR,USD,2024-07-12,4.18830048790132,0.0
